sample_id	attr_value	attr_type	attr_category
200	APLR	Longhurst Province	Environment
203	APLR	Longhurst Province	Environment
205	APLR	Longhurst Province	Environment
234	NASW	Longhurst Province	Environment
235	NASW	Longhurst Province	Environment
236	NASW	Longhurst Province	Environment
237	NASW	Longhurst Province	Environment
238	NASW	Longhurst Province	Environment
239	NASW	Longhurst Province	Environment
240	NASW	Longhurst Province	Environment
241	NASW	Longhurst Province	Environment
242	NASW	Longhurst Province	Environment
243	NASW	Longhurst Province	Environment
244	NASW	Longhurst Province	Environment
245	NASW	Longhurst Province	Environment
246	NASW	Longhurst Province	Environment
247	NASW	Longhurst Province	Environment
248	SPSG	Longhurst Province	Environment
249	SPSG	Longhurst Province	Environment
250	PEQD	Longhurst Province	Environment
251	PEQD	Longhurst Province	Environment
252	PNEC	Longhurst Province	Environment
253	PNEC	Longhurst Province	Environment
254	PNEC	Longhurst Province	Environment
255	NPTG	Longhurst Province	Environment
270	AUSE	Longhurst Province	Environment
271	AUSE	Longhurst Province	Environment
272	AUSE	Longhurst Province	Environment
273	AUSE	Longhurst Province	Environment
274	AUSE	Longhurst Province	Environment
275	AUSE	Longhurst Province	Environment
278	AUSE	Longhurst Province	Environment
279	AUSE	Longhurst Province	Environment
280	AUSE	Longhurst Province	Environment
284	AUSE	Longhurst Province	Environment
285	AUSE	Longhurst Province	Environment
286	AUSE	Longhurst Province	Environment
289	CARB	Longhurst Province	Environment
290	CARB	Longhurst Province	Environment
291	CARB	Longhurst Province	Environment
292	CARB	Longhurst Province	Environment
293	PEQD	Longhurst Province	Environment
294	SPSG	Longhurst Province	Environment
295	CCAL	Longhurst Province	Environment
296	CCAL	Longhurst Province	Environment
297	CCAL	Longhurst Province	Environment
298	PNEC	Longhurst Province	Environment
299	PNEC	Longhurst Province	Environment
300	PNEC	Longhurst Province	Environment
301	PNEC	Longhurst Province	Environment
302	CCAL	Longhurst Province	Environment
303	CCAL	Longhurst Province	Environment
304	CCAL	Longhurst Province	Environment
305	CCAL	Longhurst Province	Environment
306	CCAL	Longhurst Province	Environment
307	CCAL	Longhurst Province	Environment
308	MEDI	Longhurst Province	Environment
310	NPTG	Longhurst Province	Environment
313	CAMR	Longhurst Province	Environment
314	CCAL	Longhurst Province	Environment
316	CCAL	Longhurst Province	Environment
317	NECS	Longhurst Province	Environment
318	CAMR	Longhurst Province	Environment
321	BPLR	Longhurst Province	Environment
322	NASW	Longhurst Province	Environment
324	NPTG	Longhurst Province	Environment
325	NPTG	Longhurst Province	Environment
327	CCAL	Longhurst Province	Environment
328	NECS	Longhurst Province	Environment
329	NECS	Longhurst Province	Environment
330	NECS	Longhurst Province	Environment
331	CAMR	Longhurst Province	Environment
332	NPTG	Longhurst Province	Environment
333	NPTG	Longhurst Province	Environment
334	ETRA	Longhurst Province	Environment
335	NECS	Longhurst Province	Environment
336	NECS	Longhurst Province	Environment
337	NECS	Longhurst Province	Environment
338	NASW	Longhurst Province	Environment
341	CCAL	Longhurst Province	Environment
342	CCAL	Longhurst Province	Environment
343	CAMR	Longhurst Province	Environment
344	ARCT	Longhurst Province	Environment
346	NPTG	Longhurst Province	Environment
348	CCAL	Longhurst Province	Environment
349	CCAL	Longhurst Province	Environment
350	CCAL	Longhurst Province	Environment
351	NASE	Longhurst Province	Environment
352	NADR	Longhurst Province	Environment
356	NECS	Longhurst Province	Environment
357	NWCS	Longhurst Province	Environment
359	PSAE	Longhurst Province	Environment
360	CCAL	Longhurst Province	Environment
361	FKLD	Longhurst Province	Environment
362	FKLD	Longhurst Province	Environment
363	NWCS	Longhurst Province	Environment
364	CCAL	Longhurst Province	Environment
365	CCAL	Longhurst Province	Environment
366	AUSE	Longhurst Province	Environment
367	CCAL	Longhurst Province	Environment
368	CCAL	Longhurst Province	Environment
369	NWCS	Longhurst Province	Environment
373	CCAL	Longhurst Province	Environment
374	CCAL	Longhurst Province	Environment
375	NECS	Longhurst Province	Environment
377	NWCS	Longhurst Province	Environment
378	CCAL	Longhurst Province	Environment
382	CCAL	Longhurst Province	Environment
383	FKLD	Longhurst Province	Environment
385	CCAL	Longhurst Province	Environment
388	PSAE	Longhurst Province	Environment
389	CCAL	Longhurst Province	Environment
390	FKLD	Longhurst Province	Environment
391	FKLD	Longhurst Province	Environment
392	CCAL	Longhurst Province	Environment
393	CCAL	Longhurst Province	Environment
394	AUSE	Longhurst Province	Environment
395	BPLR	Longhurst Province	Environment
396	CCAL	Longhurst Province	Environment
397	NWCS	Longhurst Province	Environment
398	NWCS	Longhurst Province	Environment
399	NWCS	Longhurst Province	Environment
401	PSAE	Longhurst Province	Environment
402	FKLD	Longhurst Province	Environment
403	NWCS	Longhurst Province	Environment
406	CCAL	Longhurst Province	Environment
410	CCAL	Longhurst Province	Environment
414	PSAE	Longhurst Province	Environment
415	CCAL	Longhurst Province	Environment
416	FKLD	Longhurst Province	Environment
417	CCAL	Longhurst Province	Environment
418	NECS	Longhurst Province	Environment
419	CCAL	Longhurst Province	Environment
421	SPSG	Longhurst Province	Environment
423	SPSG	Longhurst Province	Environment
424	SPSG	Longhurst Province	Environment
425	CCAL	Longhurst Province	Environment
426	REDS	Longhurst Province	Environment
427	NASW	Longhurst Province	Environment
428	NPTG	Longhurst Province	Environment
429	NPTG	Longhurst Province	Environment
430	NPTG	Longhurst Province	Environment
431	REDS	Longhurst Province	Environment
432	NASW	Longhurst Province	Environment
433	NWCS	Longhurst Province	Environment
434	NWCS	Longhurst Province	Environment
435	NWCS	Longhurst Province	Environment
436	GFST	Longhurst Province	Environment
437	GFST	Longhurst Province	Environment
438	NASW	Longhurst Province	Environment
440	NWCS	Longhurst Province	Environment
441	NWCS	Longhurst Province	Environment
442	NWCS	Longhurst Province	Environment
444	NWCS	Longhurst Province	Environment
445	NWCS	Longhurst Province	Environment
446	NWCS	Longhurst Province	Environment
447	NWCS	Longhurst Province	Environment
448	NWCS	Longhurst Province	Environment
449	GFST	Longhurst Province	Environment
450	GFST	Longhurst Province	Environment
451	NASW	Longhurst Province	Environment
452	NECS	Longhurst Province	Environment
453	NECS	Longhurst Province	Environment
454	NECS	Longhurst Province	Environment
455	NECS	Longhurst Province	Environment
456	MEDI	Longhurst Province	Environment
459	NECS	Longhurst Province	Environment
460	NECS	Longhurst Province	Environment
461	GUIN	Longhurst Province	Environment
462	NECS	Longhurst Province	Environment
467	NASW	Longhurst Province	Environment
468	NASW	Longhurst Province	Environment
470	NASW	Longhurst Province	Environment
471	NASW	Longhurst Province	Environment
473	CCAL	Longhurst Province	Environment
483	CHIL	Longhurst Province	Environment
484	NWCS	Longhurst Province	Environment
489	NPTG	Longhurst Province	Environment
490	NPTG	Longhurst Province	Environment
491	FKLD	Longhurst Province	Environment
492	NWCS	Longhurst Province	Environment
493	NWCS	Longhurst Province	Environment
494	NWCS	Longhurst Province	Environment
495	NWCS	Longhurst Province	Environment
496	NWCS	Longhurst Province	Environment
497	NWCS	Longhurst Province	Environment
498	NASW	Longhurst Province	Environment
499	NASW	Longhurst Province	Environment
500	GFST	Longhurst Province	Environment
501	GFST	Longhurst Province	Environment
502	NPSW	Longhurst Province	Environment
505	CCAL	Longhurst Province	Environment
507	CCAL	Longhurst Province	Environment
508	NWCS	Longhurst Province	Environment
509	NWCS	Longhurst Province	Environment
510	NWCS	Longhurst Province	Environment
511	NWCS	Longhurst Province	Environment
512	NWCS	Longhurst Province	Environment
513	NWCS	Longhurst Province	Environment
514	NWCS	Longhurst Province	Environment
515	NWCS	Longhurst Province	Environment
517	NWCS	Longhurst Province	Environment
522	NPTG	Longhurst Province	Environment
524	NWCS	Longhurst Province	Environment
527	CCAL	Longhurst Province	Environment
538	INDE	Longhurst Province	Environment
545	NWCS	Longhurst Province	Environment
547	CCAL	Longhurst Province	Environment
548	CCAL	Longhurst Province	Environment
551	GUIA	Longhurst Province	Environment
552	NPTG	Longhurst Province	Environment
553	NPTG	Longhurst Province	Environment
554	NPTG	Longhurst Province	Environment
555	NPTG	Longhurst Province	Environment
556	NPTG	Longhurst Province	Environment
557	NPTG	Longhurst Province	Environment
558	NPTG	Longhurst Province	Environment
559	NPTG	Longhurst Province	Environment
560	NPTG	Longhurst Province	Environment
561	NPTG	Longhurst Province	Environment
562	NPTG	Longhurst Province	Environment
563	NPTG	Longhurst Province	Environment
564	CARB	Longhurst Province	Environment
565	CARB	Longhurst Province	Environment
566	CARB	Longhurst Province	Environment
567	CARB	Longhurst Province	Environment
568	CARB	Longhurst Province	Environment
569	CARB	Longhurst Province	Environment
570	NPTG	Longhurst Province	Environment
571	NPTG	Longhurst Province	Environment
572	MEDI	Longhurst Province	Environment
575	PNEC	Longhurst Province	Environment
578	MONS	Longhurst Province	Environment
579	MONS	Longhurst Province	Environment
580	NASW	Longhurst Province	Environment
581	NASW	Longhurst Province	Environment
582	NASW	Longhurst Province	Environment
583	NASW	Longhurst Province	Environment
584	NASW	Longhurst Province	Environment
585	NASW	Longhurst Province	Environment
586	NASW	Longhurst Province	Environment
587	NWCS	Longhurst Province	Environment
588	NWCS	Longhurst Province	Environment
589	NWCS	Longhurst Province	Environment
590	NWCS	Longhurst Province	Environment
591	NWCS	Longhurst Province	Environment
592	NWCS	Longhurst Province	Environment
593	NWCS	Longhurst Province	Environment
594	NWCS	Longhurst Province	Environment
595	NWCS	Longhurst Province	Environment
596	NWCS	Longhurst Province	Environment
597	NWCS	Longhurst Province	Environment
598	NWCS	Longhurst Province	Environment
599	NWCS	Longhurst Province	Environment
600	CARB	Longhurst Province	Environment
601	CARB	Longhurst Province	Environment
602	CARB	Longhurst Province	Environment
603	CARB	Longhurst Province	Environment
604	GUIA	Longhurst Province	Environment
606	CAMR	Longhurst Province	Environment
607	PNEC	Longhurst Province	Environment
608	PNEC	Longhurst Province	Environment
609	PNEC	Longhurst Province	Environment
610	PNEC	Longhurst Province	Environment
611	PEQD	Longhurst Province	Environment
612	PEQD	Longhurst Province	Environment
614	PEQD	Longhurst Province	Environment
615	PEQD	Longhurst Province	Environment
618	PEQD	Longhurst Province	Environment
619	PEQD	Longhurst Province	Environment
620	PEQD	Longhurst Province	Environment
621	PEQD	Longhurst Province	Environment
622	PEQD	Longhurst Province	Environment
623	PEQD	Longhurst Province	Environment
624	PEQD	Longhurst Province	Environment
625	PEQD	Longhurst Province	Environment
626	PEQD	Longhurst Province	Environment
627	SPSG	Longhurst Province	Environment
628	SPSG	Longhurst Province	Environment
629	SPSG	Longhurst Province	Environment
630	SPSG	Longhurst Province	Environment
631	SPSG	Longhurst Province	Environment
633	SPSG	Longhurst Province	Environment
634	SPSG	Longhurst Province	Environment
635	SPSG	Longhurst Province	Environment
638	MONS	Longhurst Province	Environment
639	MONS	Longhurst Province	Environment
640	ISSG	Longhurst Province	Environment
641	MONS	Longhurst Province	Environment
642	MONS	Longhurst Province	Environment
643	MONS	Longhurst Province	Environment
644	MONS	Longhurst Province	Environment
645	MONS	Longhurst Province	Environment
646	MONS	Longhurst Province	Environment
647	MONS	Longhurst Province	Environment
648	MONS	Longhurst Province	Environment
649	MONS	Longhurst Province	Environment
650	MONS	Longhurst Province	Environment
651	MONS	Longhurst Province	Environment
652	ISSG	Longhurst Province	Environment
653	EAFR	Longhurst Province	Environment
654	ISSG	Longhurst Province	Environment
655	ISSG	Longhurst Province	Environment
656	ISSG	Longhurst Province	Environment
657	ISSG	Longhurst Province	Environment
658	ARAB	Longhurst Province	Environment
659	ARAB	Longhurst Province	Environment
661	NATR	Longhurst Province	Environment
662	NATR	Longhurst Province	Environment
663	NATR	Longhurst Province	Environment
664	NATR	Longhurst Province	Environment
665	NATR	Longhurst Province	Environment
666	NATR	Longhurst Province	Environment
667	NATR	Longhurst Province	Environment
668	NATR	Longhurst Province	Environment
669	ARCH	Longhurst Province	Environment
670	ARCH	Longhurst Province	Environment
671	ARCH	Longhurst Province	Environment
672	ARCH	Longhurst Province	Environment
673	WARM	Longhurst Province	Environment
674	WARM	Longhurst Province	Environment
675	WARM	Longhurst Province	Environment
676	WARM	Longhurst Province	Environment
685	NASW	Longhurst Province	Environment
686	NASW	Longhurst Province	Environment
687	NPTG	Longhurst Province	Environment
688	NPTG	Longhurst Province	Environment
689	NPTG	Longhurst Province	Environment
690	NPTG	Longhurst Province	Environment
691	NPTG	Longhurst Province	Environment
692	NPTG	Longhurst Province	Environment
693	NPTG	Longhurst Province	Environment
694	NPTG	Longhurst Province	Environment
695	NPTG	Longhurst Province	Environment
696	NPTG	Longhurst Province	Environment
697	NPTG	Longhurst Province	Environment
698	NPTG	Longhurst Province	Environment
699	NPTG	Longhurst Province	Environment
700	NPTG	Longhurst Province	Environment
701	NPTG	Longhurst Province	Environment
702	NPTG	Longhurst Province	Environment
703	NPTG	Longhurst Province	Environment
704	NPTG	Longhurst Province	Environment
705	NPTG	Longhurst Province	Environment
706	NPTG	Longhurst Province	Environment
707	NPTG	Longhurst Province	Environment
708	NPTG	Longhurst Province	Environment
709	NPTG	Longhurst Province	Environment
728	WTRA	Longhurst Province	Environment
739	APLR	Longhurst Province	Environment
740	APLR	Longhurst Province	Environment
741	APLR	Longhurst Province	Environment
742	APLR	Longhurst Province	Environment
743	APLR	Longhurst Province	Environment
744	APLR	Longhurst Province	Environment
745	APLR	Longhurst Province	Environment
746	APLR	Longhurst Province	Environment
747	APLR	Longhurst Province	Environment
748	APLR	Longhurst Province	Environment
749	APLR	Longhurst Province	Environment
750	APLR	Longhurst Province	Environment
751	APLR	Longhurst Province	Environment
752	APLR	Longhurst Province	Environment
753	APLR	Longhurst Province	Environment
754	APLR	Longhurst Province	Environment
766	ANTA	Longhurst Province	Environment
767	ANTA	Longhurst Province	Environment
768	PEQD	Longhurst Province	Environment
769	PEQD	Longhurst Province	Environment
770	PNEC	Longhurst Province	Environment
771	PNEC	Longhurst Province	Environment
772	PNEC	Longhurst Province	Environment
773	PNEC	Longhurst Province	Environment
774	PEQD	Longhurst Province	Environment
775	PEQD	Longhurst Province	Environment
776	MEDI	Longhurst Province	Environment
777	APLR	Longhurst Province	Environment
779	SPSG	Longhurst Province	Environment
783	CHIL	Longhurst Province	Environment
784	ARCH	Longhurst Province	Environment
785	ISSG	Longhurst Province	Environment
787	CARB	Longhurst Province	Environment
788	NECS	Longhurst Province	Environment
790	CCAL	Longhurst Province	Environment
791	NECS	Longhurst Province	Environment
793	CCAL	Longhurst Province	Environment
796	CAMR	Longhurst Province	Environment
798	NASW	Longhurst Province	Environment
799	ALSK	Longhurst Province	Environment
800	NWCS	Longhurst Province	Environment
801	NWCS	Longhurst Province	Environment
802	NECS	Longhurst Province	Environment
803	KURO	Longhurst Province	Environment
804	NASW	Longhurst Province	Environment
806	NPTG	Longhurst Province	Environment
808	ARAB	Longhurst Province	Environment
809	NWCS	Longhurst Province	Environment
810	NATR	Longhurst Province	Environment
815	CAMR	Longhurst Province	Environment
816	NWCS	Longhurst Province	Environment
818	CCAL	Longhurst Province	Environment
819	CCAL	Longhurst Province	Environment
821	NECS	Longhurst Province	Environment
822	NASW	Longhurst Province	Environment
824	CCAL	Longhurst Province	Environment
825	CCAL	Longhurst Province	Environment
827	CCAL	Longhurst Province	Environment
828	SPSG	Longhurst Province	Environment
829	NPTG	Longhurst Province	Environment
830	NPTG	Longhurst Province	Environment
831	NECS	Longhurst Province	Environment
832	NATR	Longhurst Province	Environment
833	NASW	Longhurst Province	Environment
834	BERS	Longhurst Province	Environment
835	NPTG	Longhurst Province	Environment
836	NECS	Longhurst Province	Environment
837	SPSG	Longhurst Province	Environment
838	NECS	Longhurst Province	Environment
843	MEDI	Longhurst Province	Environment
845	NWCS	Longhurst Province	Environment
846	CHIN	Longhurst Province	Environment
852	MEDI	Longhurst Province	Environment
854	APLR	Longhurst Province	Environment
855	APLR	Longhurst Province	Environment
856	CCAL	Longhurst Province	Environment
858	PNEC	Longhurst Province	Environment
859	NECS	Longhurst Province	Environment
860	NWCS	Longhurst Province	Environment
861	NASW	Longhurst Province	Environment
862	NASW	Longhurst Province	Environment
863	PEQD	Longhurst Province	Environment
864	GUIN	Longhurst Province	Environment
865	NPPF	Longhurst Province	Environment
866	NECS	Longhurst Province	Environment
868	BPLR	Longhurst Province	Environment
869	NASW	Longhurst Province	Environment
870	APLR	Longhurst Province	Environment
871	NASW	Longhurst Province	Environment
872	CCAL	Longhurst Province	Environment
873	NASW	Longhurst Province	Environment
874	NECS	Longhurst Province	Environment
875	CCAL	Longhurst Province	Environment
876	NPTG	Longhurst Province	Environment
877	NPTG	Longhurst Province	Environment
878	NECS	Longhurst Province	Environment
881	CCAL	Longhurst Province	Environment
883	SPSG	Longhurst Province	Environment
885	NASW	Longhurst Province	Environment
886	NASW	Longhurst Province	Environment
887	PEQD	Longhurst Province	Environment
888	NASW	Longhurst Province	Environment
890	NECS	Longhurst Province	Environment
891	NPTG	Longhurst Province	Environment
892	CCAL	Longhurst Province	Environment
893	APLR	Longhurst Province	Environment
894	CARB	Longhurst Province	Environment
896	ARCH	Longhurst Province	Environment
897	NECS	Longhurst Province	Environment
898	CCAL	Longhurst Province	Environment
899	CCAL	Longhurst Province	Environment
900	NPTG	Longhurst Province	Environment
901	NASW	Longhurst Province	Environment
902	CCAL	Longhurst Province	Environment
903	CCAL	Longhurst Province	Environment
907	NASW	Longhurst Province	Environment
908	NASW	Longhurst Province	Environment
910	CCAL	Longhurst Province	Environment
912	AUSE	Longhurst Province	Environment
915	CARB	Longhurst Province	Environment
917	NECS	Longhurst Province	Environment
919	REDS	Longhurst Province	Environment
920	REDS	Longhurst Province	Environment
921	ARAB	Longhurst Province	Environment
922	NWCS	Longhurst Province	Environment
924	NECS	Longhurst Province	Environment
925	NPTG	Longhurst Province	Environment
927	CCAL	Longhurst Province	Environment
928	CARB	Longhurst Province	Environment
929	NWCS	Longhurst Province	Environment
931	NWCS	Longhurst Province	Environment
932	NECS	Longhurst Province	Environment
933	NECS	Longhurst Province	Environment
934	NECS	Longhurst Province	Environment
936	CARB	Longhurst Province	Environment
937	CARB	Longhurst Province	Environment
938	NPTG	Longhurst Province	Environment
940	NECS	Longhurst Province	Environment
941	NWCS	Longhurst Province	Environment
942	PNEC	Longhurst Province	Environment
944	CCAL	Longhurst Province	Environment
945	NWCS	Longhurst Province	Environment
946	NWCS	Longhurst Province	Environment
953	MEDI	Longhurst Province	Environment
955	NWCS	Longhurst Province	Environment
956	NASW	Longhurst Province	Environment
959	PSAE	Longhurst Province	Environment
960	PSAE	Longhurst Province	Environment
961	PSAE	Longhurst Province	Environment
962	BPLR	Longhurst Province	Environment
963	CCAL	Longhurst Province	Environment
964	CARB	Longhurst Province	Environment
965	NASW	Longhurst Province	Environment
966	NASW	Longhurst Province	Environment
967	NASW	Longhurst Province	Environment
968	NASW	Longhurst Province	Environment
969	NASW	Longhurst Province	Environment
970	NASW	Longhurst Province	Environment
971	NASW	Longhurst Province	Environment
972	NASW	Longhurst Province	Environment
973	NASW	Longhurst Province	Environment
974	NASW	Longhurst Province	Environment
975	NASW	Longhurst Province	Environment
976	NASW	Longhurst Province	Environment
977	NASW	Longhurst Province	Environment
978	NASW	Longhurst Province	Environment
979	NASW	Longhurst Province	Environment
980	NASW	Longhurst Province	Environment
981	NASW	Longhurst Province	Environment
982	NASW	Longhurst Province	Environment
983	NASW	Longhurst Province	Environment
984	NASW	Longhurst Province	Environment
985	NASW	Longhurst Province	Environment
986	NASW	Longhurst Province	Environment
987	NASW	Longhurst Province	Environment
988	NASW	Longhurst Province	Environment
989	NASW	Longhurst Province	Environment
990	NASW	Longhurst Province	Environment
991	NASW	Longhurst Province	Environment
992	NASW	Longhurst Province	Environment
993	NASW	Longhurst Province	Environment
994	NASW	Longhurst Province	Environment
995	NASW	Longhurst Province	Environment
996	NASW	Longhurst Province	Environment
997	NASW	Longhurst Province	Environment
998	NASW	Longhurst Province	Environment
999	NASW	Longhurst Province	Environment
1000	NASW	Longhurst Province	Environment
1001	NASW	Longhurst Province	Environment
1002	NASW	Longhurst Province	Environment
1003	NASW	Longhurst Province	Environment
1004	NASW	Longhurst Province	Environment
1005	NASW	Longhurst Province	Environment
1006	NASW	Longhurst Province	Environment
1007	NASW	Longhurst Province	Environment
1008	NASW	Longhurst Province	Environment
1009	NASW	Longhurst Province	Environment
1010	NASW	Longhurst Province	Environment
1011	NASW	Longhurst Province	Environment
