sample_id	class	family	phylum	genus	species
851		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Vibrio	sp. MED222
852		Gammaproteobacteria		Proteobacteria	Reinekea	blandensis
853		Gammaproteobacteria	Oceanospirillaceae	Proteobacteria	Neptuniibacter	caesariensis
854		Gammaproteobacteria	Alteromonadaceae	Proteobacteria	Marinobacter	sp. ELB17
855		Methanomicrobia	Methanomicrobiaceae	Euryarchaeota	Methanogenium	frigidum
856		Gammaproteobacteria		Proteobacteria		
857				Cyanobacteria	Synechococcus	sp. MIT S9220
858		Thermotogae	Thermotogaceae	Thermotogae	Marinitoga	piezophila
859			Nostocaceae	Cyanobacteria	Nodularia	spumigena
860		Alphaproteobacteria	Erythrobacteraceae	Proteobacteria	Erythrobacter	sp. NAP1
861		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Sulfitobacter	sp. NAS-14.1
862			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	marinus
863		Gammaproteobacteria	Ectothiorhodospiraceae	Proteobacteria	Nitrococcus	mobilis
864		Alphaproteobacteria	Bradyrhizobiaceae	Proteobacteria	Nitrobacter	sp. Nb-311A
865		Gammaproteobacteria	Chromatiaceae	Proteobacteria	Nitrosococcus	oceani
866		Gammaproteobacteria		Proteobacteria	Luminiphilus	syltensis
867		Gammaproteobacteria		Proteobacteria		
868		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Octadecabacter	arcticus
869		Alphaproteobacteria	Hyphomonadaceae	Proteobacteria	Oceanicaulis	sp. HTCC2633
870		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Octadecabacter	antarcticus
871		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Oceanicola	batsensis
872		Gammaproteobacteria		Proteobacteria		
873		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Oceanicola	granulosus
874		Alphaproteobacteria	Rhodobacteraceae	Proteobacteria	Oceanibulbus	indolifex
875		Alphaproteobacteria		Proteobacteria		
876		Gammaproteobacteria		Proteobacteria		
877		Gammaproteobacteria		Proteobacteria		
878		Gammaproteobacteria	Idiomarinaceae	Proteobacteria	Idiomarina	baltica
879		Gammaproteobacteria	Pseudoalteromonadaceae	Proteobacteria	Pseudoalteromonas	sp. 2ta16
880		Gammaproteobacteria	Pseudoalteromonadaceae	Proteobacteria	Pseudoalteromonas	sp. 2ta6
881		Gammaproteobacteria	Vibrionaceae	Proteobacteria	Photobacterium	profundum
882		Flavobacteriia	Flavobacteriaceae	Bacteroidetes	Psychroflexus	torquis
883			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	marinus
884			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	marinus
885			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	marinus
886			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	marinus
887			Prochlorococcaceae	Cyanobacteria	Prochlorococcus	marinus
888		Alphaproteobacteria	Parvularculaceae	Proteobacteria	Parvularcula	bermudensis
889		Alphaproteobacteria		Proteobacteria	Pelagibacter	sp. HTCC7211
890		Sphingobacteriia	Sphingobacteriaceae	Bacteroidetes	Pedobacter	sp. BAL39
891		Gammaproteobacteria	Psychromonadaceae	Proteobacteria	Psychromonas	sp. CNPT3
892		Gammaproteobacteria	Moritellaceae	Proteobacteria	Moritella	sp. PE36
